pitcher,pitch_1,pitch_2,pitch_3,tunnel_score,composite_tunnel_score,avg_run_value
593958,CH,FC,FF,0.3261513823367728,-0.33236674746961375,-0.010056110092374223
593958,CH,FC,SI,0.2859152091034709,-0.40994968482253197,0.004275203190648318
593958,CH,FF,SI,0.29840546501020654,-0.3677293618533633,-0.008139702807649784
593958,CU,FC,FF,0.13678750786611427,-0.29605900827961895,-0.01189655285347737
593958,CU,FC,SI,0.20079195601810176,-0.2407856102739319,0.0032268043227117646
593958,CU,FF,SI,0.18816037651080775,-0.23058346741761723,-0.010731261642140317
593958,FC,FF,SI,0.20320917510742373,-0.634650716770336,-0.003763130350090787
593974,CH,SI,SL,0.4124286595580194,-0.24027023779666992,-0.003963986616447955
594580,CH,FF,SI,0.27389466117096445,-0.31170878611572167,0.006082698227691105
594580,CH,FF,ST,0.2841367817305333,-0.13016898979119113,-0.0012978208486864582
594580,CH,SI,ST,0.2211771324169234,-0.28108089099830497,0.0015224376453024254
594580,FF,SI,ST,0.2219430300147506,-0.20943591879980797,0.002696494026159787
594798,CH,CU,FF,0.3989000722917628,0.16150122411466136,0.0033958776668602947
594798,CH,CU,SL,0.39596780949836274,-0.03662304292301155,-0.014427128146695882
594798,CH,FF,SL,0.2390163500340127,-0.45068213907542937,-0.008692073415390307
594798,CU,FF,SL,0.41007727922447756,0.1757467527088994,-0.006986550063068652
596001,CH,FF,SI,0.20297609703429398,-0.5108963657473272,-0.015903210025276154
596001,CH,FF,ST,0.27706180867583435,-0.2043434198228071,-0.013037948379804333
596001,CH,SI,ST,0.33231000202342137,-0.16824683168245747,-0.021335577258498453
596001,FF,SI,ST,0.2871682814666715,-0.191462558978461,-0.016370772298228167
596133,CH,FC,FF,0.4008310407911379,-0.25544164502018174,-0.018303322591217447
605135,CU,FC,SI,0.3689221976188867,0.5434900592773494,0.006002649771818464
605280,CH,SI,ST,0.4098577239159731,-0.0020264466760775055,-0.013884408440053314
605288,CH,CU,FF,0.28001685100321977,-0.10835410646264003,0.0032954619965132013
605288,CH,CU,SI,0.3134946531406698,-0.08924632346760784,-0.0007367494395553505
605288,CH,CU,SL,0.28655953058390654,-0.3609087524695602,0.010313152821990482
605288,CH,FF,SI,0.3104852487301413,-0.21592701906028958,-0.006635221119422283
